TOX-A	TOX-B	mGFP-A	mGFP-B
Arid5a	31674	29168	30526	34314
RP23-134L6.5	22	2	9	31
Kansl3	3501	3007	2961	2658
Mir6898	0	0	0	0
Fer1l5	49	71	127	11
Lman2l	1919	1880	1842	1423
Cnnm4	425	429	465	347
RP23-294I17.4	2	0	1	0
Gm47280	0	0	0	0
Cnnm3	265	168	393	345
RP23-294I17.6	0	0	0	0
Ankrd23	75	60	36	46
RP23-294I17.8	5	5	0	1
Ankrd39	1160	1028	1150	1180
Sema4c	4	26	0	0
AC084391.4	0	1	0	0
Fam178b	0	0	0	0
RP23-247A1.1	14	4	7	5
Gm24133	0	0	0	0
Cox5b	5471	4788	5224	5058
Actr1b	5763	5657	5164	4834
RP23-247A1.6	7	8	5	5
RP23-247A1.7	0	0	0	0
Zap70	7002	6271	7965	5387
RP23-247A1.2	0	0	1	0
Tmem131	1046	1161	1399	926
RP23-328J8.4	0	0	0	0
RP23-328J8.2	61	21	23	13
RP23-328J8.3	26	5	21	8
Rpl12-ps1	4	1	4	2
n-R5s210	0	0	0	0
Vwa3b	25	4	3	12
RP23-259P18.1	0	0	0	0
Cnga3	0	1	0	0
RP23-271C13.1	0	0	0	0
Inpp4a	296	162	80	174
AC133096.2	0	3	1	1
RP23-271C13.2	0	0	3	0
Coa5	8603	7356	5733	7834
Unc50	3950	3281	3412	3663
Mgat4a	2642	2406	1780	1962
RP23-285H9.2	20	11	4	7
AC084390.5	24	32	13	10
AC140321.1	337	254	170	247
AC123068.2	7	4	6	0
RP23-402K6.2	0	0	0	0
RP23-21P10.1	0	0	0	0
Tsga10	151	102	47	88
RP24-178E16.1	0	0	0	0
Lipt1	280	339	322	318
Mitd1	1612	1537	1263	1495
Mrpl30	4358	3889	4327	4106
Lyg2	0	0	0	0
AC119189.3	0	0	0	0
Lyg1	0	0	0	0
Gm23409	0	0	0	0
Txndc9	4355	4200	3723	3997
Eif5b	2685	2618	2113	2517
Rev1	613	704	338	672
RP23-195A24.4	6	0	4	5
RP23-195A24.5	0	0	0	0
Aff3	331	244	334	259
AC138386.1	8	6	2	14
AC117789.3	1	0	0	9
AC117789.2	7	3	7	13
RP24-390D21.4	6	1	0	3
RP24-187B13.4	0	0	0	0
RP24-187B13.3	0	0	0	0
Lonrf2	0	0	0	0
Chst10	1625	1588	1374	1594
RP23-101P2.3	0	0	0	1
RP23-101P2.5	0	0	1	0
Nms	0	0	0	0
Pdcl3	4460	4390	3652	4420
RP23-101P2.6	40	15	11	45
RP24-226L19.1	0	0	0	0
RP24-226L19.2	0	0	0	0
Mir6349	0	0	0	0
Npas2	123	110	56	98
RP24-180L10.1	0	0	0	0
RP24-539E18.2	3	2	1	0
Rpl31	2819	2776	2988	3039
Tbc1d8	113	116	82	103
RP24-539E18.5	0	0	0	0
Gm24826	0	0	0	0
Cnot11	3064	2870	1795	1956
AC074336.1	19	9	22	4
Snord89	4	2	0	3
Rnf149	535	501	231	353
Gm23722	3	3	5	5
RP24-505E24.2	3	4	0	8
Creg2	0	0	0	0
RP24-505E24.3	0	0	0	0
Rfx8	15	2	0	0
RP23-469H11.2	0	0	0	0
RP23-469H11.1	0	2	0	0
Map4k4	523	614	727	498
RP24-127D13.5	0	1	0	0
Il1r2	49	106	24	45
RP24-127D13.3	14	4	0	3
RP24-127D13.2	0	0	0	0
Il1r1	32	0	0	0
RP24-317P24.1	1	0	2	0
Il1rl2	246	122	0	70
RP23-100P14.3	1	0	0	0
Il1rl1	58	67	29	19
Il18r1	772	849	430	381
Il18rap	2699	2732	1368	1552
RP23-346B12.3	0	0	0	0
Slc9a4	0	0	0	0
RP23-346B12.4	0	0	0	0
Slc9a2	19	16	9	0
RP23-413K6.3	0	0	0	0
RP23-413K6.4	0	0	0	0
Mfsd9	34	81	54	37
Tmem182	0	0	0	0
RP23-247G20.1	0	0	0	0
RP24-532K6.1	0	0	0	0
RP23-59E7.1	0	0	0	0
RP23-176M9.1	0	0	0	0
RP24-177N20.1	1	1	0	0
RP24-177N20.2	0	0	0	0
RP24-421J9.1	0	0	0	0
RP24-421J9.5	0	0	0	0
RP24-421J9.3	0	0	0	0
RP24-421J9.4	0	0	0	0
RP23-480H8.1	0	0	0	0
Pantr1	0	0	0	0
RP23-71K9.3	0	0	0	0
RP23-114H2.1	0	0	0	0
Pou3f3	0	0	0	0
Pantr2	0	0	0	0
Dalir	0	0	0	0
Mrps9	4355	3854	3851	3673
Gm23126	0	0	0	0
Gpr45	6	11	32	19
Gm24001	0	0	0	0
Tgfbrap1	537	469	492	436
RP23-466C15.3	0	0	0	0
RP23-466C15.4	1	0	0	0
AC161207.1	2248	2302	1846	1944
Fhl2	1131	868	498	373
AC161207.2	0	0	2	1
RP23-305F24.3	0	0	0	0
RP23-305F24.2	1	0	0	0
RP23-389C9.4	0	0	0	0
Nck2	880	838	543	693
RP23-389C9.3	0	1	0	0
RP23-435E15.3	13	21	13	14
AC159092.1	2	4	3	4
RP23-103C13.1	2	13	2	12
RP23-103C13.2	5	5	7	4
RP23-103C13.5	3	0	8	0
Uxs1	1845	1689	1446	1257
AC159092.3	4	16	22	6
RP24-316C22.1	19	18	56	26
RP24-316C22.2	0	0	0	0
Gm26352	0	0	0	0
Gm24180	0	0	0	0
Tpp2	12483	12427	6838	10533
Mettl21c	12	6	18	6
AC111064.2	0	0	0	0
Gm8251	0	11	0	0
Tex30	3487	3420	2593	3050
RP24-343K18.1	0	0	0	0
Kdelc1	1398	1264	964	1125
Bivm	843	818	585	940
Ercc5	1917	1181	777	1825
Mettl21e	0	0	0	0
AC110217.1	0	0	0	0
RP23-210C21.1	0	0	0	0
RP23-210C21.2	0	0	0	0
Txn-ps1	30	15	12	15
Gulp1	0	0	0	0
RP23-68D4.1	0	0	0	0
AC107810.1	0	0	0	0
RP24-541P18.3	0	0	0	0
RP24-541P18.1	0	0	0	0
RP23-231B19.1	0	0	0	0
RP23-231B19.2	0	0	0	1
RP23-231B19.3	0	0	0	0
RP23-274N9.1	1	0	0	0
Col3a1	0	0	2	0
Gm47302	0	0	0	0
Col5a2	0	0	0	1
RP24-370G18.1	0	0	0	0
RP23-304F24.1	0	0	0	0
RP23-304F24.2	0	0	0	0
RP23-304F24.3	1	0	0	1
Gm23216	0	0	0	0
Gm23974	0	0	0	0
RP24-350F5.1	0	0	0	0
Gm23984	0	0	0	0
Wdr75	5962	6906	4822	6431
RP23-241P4.1	0	0	0	0
AC121575.1	218	212	246	207
RP23-183P22.1	2	1	0	1
RP23-183P22.3	0	0	0	0
Slc40a1	7	12	10	4
RP23-183P22.5	0	0	0	0
Rpl23a-ps1	0	1	0	1
RP23-183P22.2	0	0	0	0
Stk-ps2	0	0	0	0
RP24-85N11.1	0	0	0	0
Dnah7b	0	0	0	0
n-R5s211	0	0	0	0
RP23-76C10.2	10	10	13	13
Dnah7c	0	2	0	0
Slc39a10	1581	1491	830	1239
RP24-287C2.2	3	4	11	3
RP24-287C2.1	0	7	0	0
RP23-461J11.1	0	0	1	0
RP23-69F3.1	0	0	0	0
WI1-2263N2.1	0	0	0	0
AC102313.1	4	7	5	5
RP23-240G10.1	0	0	0	0
Mir6350	0	0	0	0
RP23-240G10.2	0	0	0	0
RP23-241J21.2	0	0	0	0
RP23-241J21.1	23	30	27	21
Gm22419	0	0	0	0
Gm23829	0	0	0	0
RP24-275N11.1	0	0	0	0
RP24-257G18.1	3	3	1	3
Gm23240	0	0	0	0
RP24-267A19.1	0	0	0	0
RP23-263K13.1	0	0	0	0
RP23-263K13.2	0	0	0	0
RP23-34F5.1	10	7	8	5
Gm22693	0	0	0	0
RP24-469G14.1	0	0	0	0
RP24-469G14.2	0	0	0	0
RP24-170N13.1	0	0	0	0
RP24-292D18.1	0	0	0	0
RP24-292D18.2	0	0	0	0
RP23-294D6.1	0	0	0	0
RP23-249J23.1	0	0	0	0
RP23-249J23.2	0	0	0	0
RP23-249J23.3	0	0	0	0
Gm27330	0	0	0	0
RP24-92O11.1	0	0	0	0
RP23-212E14.1	0	0	0	0
Gm25843	0	0	0	0
RP24-479J20.1	0	0	0	0
Tmeff2	0	0	0	0
RP23-122O4.1	0	0	0	0
Gm25736	0	0	0	0
